caldt,vwretd
2/19/1975,0.006435
2/20/1975,0.00978
2/21/1975,0.005947
2/24/1975,-0.014078
2/25/1975,-0.023115
2/26/1975,0.010385
2/27/1975,0.004993
2/28/1975,0.010014
3/3/1975,0.017832
3/4/1975,0.00701
3/5/1975,-0.007904
3/6/1975,0.009538
3/7/1975,0.007054
3/10/1975,0.008003
3/11/1975,-0.006571
3/12/1975,-0.009336
3/13/1975,0.001852
3/14/1975,0.012282
3/17/1975,0.015345
3/18/1975,-0.010294
3/19/1975,-0.009248
3/20/1975,-0.008842
3/21/1975,-0.002558
3/24/1975,-0.023246
3/25/1975,0.007959
3/26/1975,0.018613
3/27/1975,0.00311
3/31/1975,-0.005763
4/1/1975,-0.008785
4/2/1975,-0.002619
4/3/1975,-0.011186
4/4/1975,-0.007365
4/7/1975,-0.006512
4/8/1975,0.007898
4/9/1975,0.023101
4/10/1975,0.011278
4/11/1975,0.004899
4/14/1975,0.017173
4/15/1975,0.008283
4/16/1975,0.003467
4/17/1975,0.007365
4/18/1975,-0.010865
4/21/1975,0.010883
4/22/1975,-0.001585
4/23/1975,-0.011159
4/24/1975,-0.000771
4/25/1975,0.006864
4/28/1975,-0.004159
4/29/1975,-0.006507
4/30/1975,0.019835
5/1/1975,0.009412
5/2/1975,0.012837
5/5/1975,0.010372
5/6/1975,-0.015164
5/7/1975,0.005025
5/8/1975,0.005968
5/9/1975,0.011501
5/12/1975,0.001206
5/13/1975,0.010838
5/14/1975,0.007794
5/15/1975,-0.0094
5/16/1975,-0.010739
5/19/1975,0.001415
5/20/1975,-0.005088
5/21/1975,-0.011121
5/22/1975,0.004242
5/23/1975,0.013902
5/27/1975,-0.00128
5/28/1975,-0.007079
5/29/1975,-0.000157
5/30/1975,0.01647
6/2/1975,0.016065
6/3/1975,0.003411
6/4/1975,-0.002863
6/5/1975,0.000968
6/6/1975,-0.002326
6/9/1975,-0.013468
6/10/1975,-0.008195
6/11/1975,0.001199
6/12/1975,-0.005292
6/13/1975,0.004741
6/16/1975,0.010453
6/17/1975,-0.009396
6/18/1975,-0.002039
6/19/1975,0.018317
