caldt,vwretd
20120420,0.001370
20120423,-0.008769
20120424,0.003327
20120425,0.013675
20120426,0.007023
20120427,0.002703
20120430,-0.003841
20120501,0.005573
20120502,-0.002329
20120503,-0.007570
20120504,-0.016202
20120507,0.000175
20120508,-0.004166
20120509,-0.006242
20120510,0.002691
20120511,-0.003215
20120514,-0.011019
20120515,-0.005451
20120516,-0.004271
20120517,-0.014673
20120518,-0.007276
20120521,0.016123
20120522,0.000573
20120523,0.001839
20120524,0.001519
20120525,-0.002080
20120529,0.011299
20120530,-0.014079
20120531,-0.002107
20120601,-0.024708
20120604,0.000295
20120605,0.005835
20120606,0.023073
20120607,0.000014
20120608,0.008371
20120611,-0.012739
20120612,0.011654
20120613,-0.006675
20120614,0.010730
20120615,0.010421
20120618,0.001494
20120619,0.009845
20120620,-0.001449
20120621,-0.022090
20120622,0.007080
20120625,-0.015577
20120626,0.004758
20120627,0.008995
20120628,-0.002167
20120629,0.025165
20120702,0.002405
20120703,0.006713
20120705,-0.004557
20120706,-0.009039
20120709,-0.001629
20120710,-0.008019
20120711,-0.000020
20120712,-0.005030
20120713,0.016617
20120716,-0.002319
20120717,0.007375
20120718,0.006779
20120719,0.002712
20120720,-0.009819
20120723,-0.009045
20120724,-0.009039
20120725,-0.000342
20120726,0.016661
20120727,0.019238
20120730,-0.000306
20120731,-0.004437
20120801,-0.003073
20120802,-0.007161
20120803,0.019034
20120806,0.002376
20120807,0.005174
20120808,0.001014
20120809,0.000757
20120810,0.002143
20120813,-0.001029
20120814,0.000231
20120815,0.001656
20120816,0.006944
20120817,0.001860
20120820,-0.000025
20120821,-0.003603
20120822,0.000250
20120823,-0.007941
20120824,0.006713
20120827,-0.000408
20120828,-0.000706
20120829,0.001133
20120830,-0.007663
20120831,0.005188
20120904,-0.000936
20120905,-0.000866
20120906,0.020380
20120907,0.004010
20120910,-0.006136
20120911,0.003175
20120912,0.002337
20120913,0.016295
20120914,0.004019
20120917,-0.003166
20120918,-0.001285
20120919,0.001210
20120920,-0.000450
20120921,-0.000179
20120924,-0.002032
20120925,-0.010525
20120926,-0.005536
20120927,0.009581
20120928,-0.004484
20121001,0.002764
20121002,0.000982
20121003,0.003885
20121004,0.007250
20121005,-0.000007
20121008,-0.003299
20121009,-0.009926
20121010,-0.005926
20121011,0.000421
20121012,-0.002788
20121015,0.008097
20121016,0.010141
20121017,0.004166
20121018,-0.002450
20121019,-0.016520
20121022,0.000409
20121023,-0.014309
20121024,-0.003034
20121025,0.002777
20121026,-0.000458
20121031,0.000391
20121101,0.010576
20121102,-0.009219
20121105,0.002231
20121106,0.008003
20121107,-0.022644
20121108,-0.012236
20121109,0.001589
20121112,0.000099
20121113,-0.003716
20121114,-0.013501
20121115,-0.001847
20121116,0.004933
20121119,0.019683
20121120,0.000789
20121121,0.002384
20121123,0.013213
20121126,-0.002008
20121127,-0.005096
20121128,0.008316
20121129,0.004408
20121130,0.000344
20121203,-0.004831
20121204,-0.001520
20121205,0.001923
20121206,0.003442
20121207,0.003084
